"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,4.82072088848071,0.983,0.343,0,"0-Terminal Keratinocyte","KRT1"
"2",0,4.69163447730022,0.724,0.163,0,"0-Terminal Keratinocyte","KRT2"
"3",0,4.64509676800566,0.988,0.71,0,"0-Terminal Keratinocyte","KRT10"
"4",0,4.37071223936662,0.913,0.222,0,"0-Terminal Keratinocyte","KRTDAP"
"5",0,4.22901353717034,0.99,0.375,0,"0-Terminal Keratinocyte","DMKN"
"6",0,3.56002077048364,0.837,0.119,0,"0-Terminal Keratinocyte","SBSN"
"7",0,3.35868125570557,0.89,0.252,0,"0-Terminal Keratinocyte","LYPD3"
"8",0,3.04106364830933,0.959,0.239,0,"0-Terminal Keratinocyte","LY6D"
"9",0,2.96755689163774,0.95,0.264,0,"0-Terminal Keratinocyte","LGALS7B"
"10",0,2.88392970894477,0.99,0.441,0,"0-Terminal Keratinocyte","SFN"
"11",0,2.5992346177891,0.86,0.252,0,"0-Terminal Keratinocyte","DSP"
"12",0,2.50475184742144,0.99,0.513,0,"0-Terminal Keratinocyte","PERP"
"13",0,2.42760574853101,0.967,0.292,0,"0-Terminal Keratinocyte","S100A14"
"14",0,2.22033780069884,0.917,0.315,0,"0-Terminal Keratinocyte","AQP3"
"15",0,2.19080057435078,0.706,0.202,0,"0-Terminal Keratinocyte","SERPINB2"
"16",0,2.15263308447615,0.718,0.151,0,"0-Terminal Keratinocyte","LGALS7"
"17",0,2.15250654421485,0.89,0.327,0,"0-Terminal Keratinocyte","TACSTD2"
"18",0,2.06096308404153,0.774,0.201,0,"0-Terminal Keratinocyte","CSTA"
"19",0,2.01743925616054,0.297,0.04,0,"0-Terminal Keratinocyte","SPRR1B"
"20",0,1.99753900328495,0.814,0.343,0,"0-Terminal Keratinocyte","PHLDA2"
"21",0,1.96190699074993,0.7,0.141,0,"0-Terminal Keratinocyte","CLDN1"
"22",0,1.94629458018181,0.746,0.123,0,"0-Terminal Keratinocyte","PKP1"
"23",0,1.94036933362385,0.781,0.355,0,"0-Terminal Keratinocyte","FABP5"
"24",0,1.90362718077758,0.846,0.213,0,"0-Terminal Keratinocyte","SERPINB5"
"25",0,1.89227460445835,0.665,0.113,0,"0-Terminal Keratinocyte","CLDN4"
"26",0,1.88413726390775,0.796,0.201,0,"0-Terminal Keratinocyte","DSC3"
"27",0,1.81820271540495,0.495,0.117,0,"0-Terminal Keratinocyte","CALML5"
"28",0,1.81309755185955,0.718,0.109,0,"0-Terminal Keratinocyte","DSG1"
"29",0,1.7466660492847,0.408,0.113,0,"0-Terminal Keratinocyte","KRT16"
"30",0,1.68557574179485,0.276,0.074,0,"0-Terminal Keratinocyte","S100A8"
"31",0,1.67743804987387,0.869,0.283,0,"0-Terminal Keratinocyte","KLF5"
"32",0,1.62394254641692,0.78,0.219,0,"0-Terminal Keratinocyte","JUP"
"33",0,1.54946921020007,0.697,0.119,0,"0-Terminal Keratinocyte","KLK11"
"34",0,1.54432887152623,0.715,0.092,0,"0-Terminal Keratinocyte","DEFB1"
"35",0,1.52369158604157,0.719,0.235,0,"0-Terminal Keratinocyte","CTNNBIP1"
"36",0,1.5003145607463,0.657,0.257,0,"0-Terminal Keratinocyte","TMEM45A"
"37",0,1.48844205093493,0.692,0.089,0,"0-Terminal Keratinocyte","RHOV"
"38",0,1.43617859728119,0.718,0.172,0,"0-Terminal Keratinocyte","TRIM29"
"39",0,1.41580655003473,0.693,0.172,0,"0-Terminal Keratinocyte","IRF6"
"40",0,1.36947907678663,0.567,0.142,0,"0-Terminal Keratinocyte","FGFBP1"
"41",0,1.36894582118267,0.887,0.285,0,"0-Terminal Keratinocyte","FXYD3"
"42",0,1.36334276910181,0.713,0.149,0,"0-Terminal Keratinocyte","CCL27"
"43",0,1.34004421232706,0.781,0.297,0,"0-Terminal Keratinocyte","TUBA4A"
"44",0,1.32581544812649,0.817,0.455,0,"0-Terminal Keratinocyte","TUBB2A"
"45",0,1.31508820292623,0.803,0.448,0,"0-Terminal Keratinocyte","EMP2"
"46",0,1.31204642268952,0.289,0.106,0,"0-Terminal Keratinocyte","KRT6A"
"47",0,1.29277081552471,0.49,0.028,0,"0-Terminal Keratinocyte","DSC1"
"48",0,1.27183552782705,0.634,0.11,0,"0-Terminal Keratinocyte","RAB25"
"49",0,1.2644981185187,0.667,0.108,0,"0-Terminal Keratinocyte","NSG1"
"50",0,1.25828831531587,0.539,0.125,0,"0-Terminal Keratinocyte","OVOL1"
"51",0,1.2565797355475,0.803,0.415,0,"0-Terminal Keratinocyte","DEGS1"
"52",0,1.25233354064788,0.722,0.199,0,"0-Terminal Keratinocyte","DAPL1"
"53",0,1.21594281886977,0.843,0.422,0,"0-Terminal Keratinocyte","S100A16"
"54",0,1.20606502825858,0.583,0.069,0,"0-Terminal Keratinocyte","MAL2"
"55",0,1.20331532803167,0.616,0.125,0,"0-Terminal Keratinocyte","EHF"
"56",0,1.18746012127283,0.501,0.096,0,"0-Terminal Keratinocyte","CALML3"
"57",0,1.18318292465527,0.55,0.039,0,"0-Terminal Keratinocyte","KCNK7"
"58",0,1.18075207556115,0.646,0.222,0,"0-Terminal Keratinocyte","GLTP"
"59",0,1.18020514963134,0.668,0.15,0,"0-Terminal Keratinocyte","PKP3"
"60",0,1.1374021910122,0.382,0.109,0,"0-Terminal Keratinocyte","SPINK5"
"61",0,1.13460538274453,0.961,0.805,0,"0-Terminal Keratinocyte","DYNLL1"
"62",0,1.12124097413665,0.689,0.291,0,"0-Terminal Keratinocyte","GJA1"
"63",0,1.11848149669645,0.615,0.164,0,"0-Terminal Keratinocyte","TENT5B"
"64",0,1.10818500161118,0.61,0.162,0,"0-Terminal Keratinocyte","SDC1"
"65",0,1.10709720280983,0.542,0.215,0,"0-Terminal Keratinocyte","HBEGF"
"66",0,1.09957134288966,0.537,0.096,0,"0-Terminal Keratinocyte","CEBPA"
"67",0,1.09767292802909,0.861,0.519,0,"0-Terminal Keratinocyte","KLF4"
"68",0,1.09108474783281,0.256,0.016,0,"0-Terminal Keratinocyte","IVL"
"69",0,1.08981203066072,0.622,0.118,0,"0-Terminal Keratinocyte","KLC3"
"70",0,1.08780602695022,0.752,0.347,0,"0-Terminal Keratinocyte","ALDH2"
"71",0,1.06713636581958,0.613,0.121,0,"0-Terminal Keratinocyte","PPP1R14C"
"72",0,1.0526011674788,0.658,0.2,0,"0-Terminal Keratinocyte","C19orf33"
"73",0,1.03122764687935,0.673,0.302,0,"0-Terminal Keratinocyte","ABHD5"
"74",0,1.03013944706683,0.483,0.038,0,"0-Terminal Keratinocyte","TMEM40"
"75",0,1.01312580225271,0.789,0.555,0,"0-Terminal Keratinocyte","SLC38A2"
