"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,4.69181490297499,0.729,0.188,0,"1-Suprabasal Keratinocyte","KRT2"
"2",0,4.65049863404517,0.985,0.399,0,"1-Suprabasal Keratinocyte","KRT1"
"3",0,4.50514656348055,0.99,0.753,0,"1-Suprabasal Keratinocyte","KRT10"
"4",0,4.28926114069836,0.913,0.252,0,"1-Suprabasal Keratinocyte","KRTDAP"
"5",0,4.11174737289473,0.992,0.424,0,"1-Suprabasal Keratinocyte","DMKN"
"6",0,3.54962045995993,0.839,0.139,0,"1-Suprabasal Keratinocyte","SBSN"
"7",0,3.26995268367541,0.893,0.291,0,"1-Suprabasal Keratinocyte","LYPD3"
"8",0,2.86129264164849,0.962,0.294,0,"1-Suprabasal Keratinocyte","LY6D"
"9",0,2.71128095315074,0.952,0.314,0,"1-Suprabasal Keratinocyte","LGALS7B"
"10",0,2.58466912779152,0.993,0.514,0,"1-Suprabasal Keratinocyte","SFN"
"11",0,2.47905588874156,0.86,0.294,0,"1-Suprabasal Keratinocyte","DSP"
"12",0,2.39589113724006,0.501,0.111,0,"1-Suprabasal Keratinocyte","CALML5"
"13",0,2.33952084135018,0.991,0.555,0,"1-Suprabasal Keratinocyte","PERP"
"14",0,2.21493581300138,0.969,0.342,0,"1-Suprabasal Keratinocyte","S100A14"
"15",0,2.02730170769392,0.737,0.192,0,"1-Suprabasal Keratinocyte","LGALS7"
"16",0,2.01839827423218,0.292,0.047,0,"1-Suprabasal Keratinocyte","SPRR1B"
"17",0,2.01410770740627,0.769,0.237,0,"1-Suprabasal Keratinocyte","CSTA"
"18",0,2.01058475469537,0.89,0.371,0,"1-Suprabasal Keratinocyte","TACSTD2"
"19",0,1.99296403354898,0.661,0.119,0,"1-Suprabasal Keratinocyte","CLDN4"
"20",0,1.96354449492633,0.705,0.248,0,"1-Suprabasal Keratinocyte","SERPINB2"
"21",0,1.95801795316345,0.918,0.367,0,"1-Suprabasal Keratinocyte","AQP3"
"22",0,1.90777152153752,0.797,0.397,0,"1-Suprabasal Keratinocyte","FABP5"
"23",0,1.90307824954671,0.754,0.158,0,"1-Suprabasal Keratinocyte","PKP1"
"24",0,1.89000653902273,0.692,0.158,0,"1-Suprabasal Keratinocyte","CLDN1"
"25",0,1.85890823997805,0.815,0.394,0,"1-Suprabasal Keratinocyte","PHLDA2"
"26",0,1.81376773218822,0.422,0.141,0,"1-Suprabasal Keratinocyte","KRT16"
"27",0,1.77138495225829,0.719,0.136,0,"1-Suprabasal Keratinocyte","DSG1"
"28",0,1.73736147555431,0.793,0.246,0,"1-Suprabasal Keratinocyte","DSC3"
"29",0,1.73074472198078,0.847,0.266,0,"1-Suprabasal Keratinocyte","SERPINB5"
"30",0,1.64631248720999,0.291,0.097,0,"1-Suprabasal Keratinocyte","S100A8"
"31",0,1.60996562196378,0.716,0.104,0,"1-Suprabasal Keratinocyte","DEFB1"
"32",0,1.57090894370909,0.781,0.254,0,"1-Suprabasal Keratinocyte","JUP"
"33",0,1.54318466840788,0.696,0.095,0,"1-Suprabasal Keratinocyte","RHOV"
"34",0,1.54201371025055,0.702,0.147,0,"1-Suprabasal Keratinocyte","KLK11"
"35",0,1.51981416244724,0.874,0.329,0,"1-Suprabasal Keratinocyte","KLF5"
"36",0,1.50366116944197,0.73,0.278,0,"1-Suprabasal Keratinocyte","CTNNBIP1"
"37",0,1.44075948552723,0.89,0.319,0,"1-Suprabasal Keratinocyte","FXYD3"
"38",0,1.40853695979955,0.659,0.312,0,"1-Suprabasal Keratinocyte","TMEM45A"
